Shifted Time (s),AxialRotation Angle IMU (degrees)
103.539,-1.5937135017054764
103.54899999999999,-1.8432052901150628
103.55799999999999,-2.0809252485488807
103.568,-2.3572473767546893
103.578,-2.637829674480132
103.588,-2.9348821414724404
103.599,-3.2862017774801444
103.608,-3.587030582249634
103.618,-3.9395635555280313
103.628,-4.311616697063242
103.638,-4.688540006601692
103.649,-5.1243734838898245
103.657,-5.4403291286746915
103.66799999999999,-5.89024294070287
103.678,-6.311076919721123
103.688,-6.728251065475324
103.698,-7.1527453777109775
103.709,-7.646934856175472
103.717,-8.018499500613077
103.728,-8.548230310770169
103.738,-9.031255286392716
103.748,-9.509400427225618
103.758,-9.971085733013396
103.767,-10.387162203502262
103.777,-10.850677838437031
103.788,-11.36364563756188
103.798,-11.833871600622485
103.80799999999999,-12.31933772736233
103.818,-12.820054017527305
103.827,-13.272347470860765
103.838,-13.834277087106944
103.848,-14.329503866010743
103.858,-14.803390807315697
103.868,-15.28336791076496
103.877,-15.709328176103492
103.887,-16.18808560307474
103.898,-16.7265421914215
103.908,-17.225429940888148
103.91799999999999,-17.73955785121675
103.92699999999999,-18.209969922151643
103.937,-18.740558153435593
103.947,-19.271146544811145
103.958,-19.843814096020488
103.968,-20.385382806807243
103.978,-20.906221676912672
103.987,-21.346448706080437
103.997,-21.833137894052513
104.007,-22.272877240570736
104.018,-22.7395717453766
104.02799999999999,-23.132971408212192
104.03699999999999,-23.456307228819796
104.047,-23.77165720694083
104.057,-24.030907342316596
104.067,-24.295037634688043
104.078,-24.592707083797315
104.088,-24.84220768938458
104.097,-25.047005451191772
104.107,-25.249546368959926
104.117,-25.42769744242993
104.128,-25.583841671342476
104.138,-25.71931305543852
104.14699999999999,-25.856062594458194
104.157,-26.02385428814253
104.167,-26.200186136231487
104.17699999999999,-26.409438138464886
104.188,-26.65613529458343
104.196,-26.844779604326305
104.207,-27.11495106743375
104.217,-27.3705436836457
104.227,-27.648696452701365
104.237,-27.952459374339703
104.248,-28.315185448301037
104.256,-28.610662674323386
104.267,-29.047848052146257
104.277,-29.47357158150897
104.28699999999999,-29.920025262149288
104.297,-30.371359093807136
104.306,-30.78085607622011
104.317,-31.29584520912659
104.327,-31.754489492265563
104.337,-32.2247239253748
104.347,-32.6925185081917
104.358,-33.21019224045584
104.366,-33.58664712190346
104.377,-34.100295152272935
104.387,-34.54797033130227
104.39699999999999,-34.984665658727856
104.407,-35.41953113428836
104.416,-35.79610775772021
104.426,-36.2260935287609
104.437,-36.69949344714676
104.447,-37.13801951261553
104.457,-37.56861572490289
104.467,-37.988242083746556
104.476,-38.348358588882064
104.486,-38.73627524004611
104.497,-39.14730603697435
104.507,-39.51022297940366
104.517,-39.85241006706918
104.526,-40.15709629970766
104.536,-40.493183677054695
104.54599999999999,-40.831711198845305
104.557,-41.20383586481622
104.567,-41.532603674701505
104.576,-41.8109476282373
104.586,-42.109845725158515
104.596,-42.40386396520002
104.607,-42.72233134809628
104.617,-43.00780987358257
104.627,-43.28840854139271
104.636,-43.53492935126177
104.646,-43.80272830292394
104.65599999999999,-44.06686739611282
104.667,-44.359848630563356
104.67699999999999,-44.62276800600846
104.68599999999999,-44.85721152218269
104.696,-45.13172117881973
104.706,-45.41659097565312
104.716,-45.70390091241606
104.727,-46.02773798884316
104.737,-46.32114820466671
104.746,-46.57754355962092
104.756,-46.86180405343889
104.766,-47.13935468585366
104.776,-47.41995545659798
104.78699999999999,-47.73305736540541
104.79599999999999,-47.98561041200888
104.806,-48.284511596141115
104.816,-48.567552917534584
104.826,-48.827424375921375
104.837,-49.1029729710347
104.845,-49.2911387026059
104.856,-49.54454457036742
104.866,-49.77088657405153
104.876,-49.99051871338992
104.886,-50.19490098811408
104.89699999999999,-50.397333397956224
104.905,-50.53184394264804
104.916,-50.698735621920434
104.926,-50.83299843550515
104.93599999999999,-50.949581383133115
104.946,-51.06128446453572
104.955,-51.1503096794437
104.965,-51.235183027588086
104.976,-51.31219450869949
104.986,-51.37816812250871
104.996,-51.42951186874615
105.006,-51.4668257471425
105.015,-51.49438175742809
105.026,-51.51840689933323
105.036,-51.53438117258821
105.04599999999999,-51.537545576923115
105.056,-51.529740112068
105.065,-51.519433777752745
105.075,-51.50308857370703
105.086,-51.48149749966034
105.096,-51.459052555342026
105.106,-51.43234774048144
105.115,-51.40558105480763
105.125,-51.36423649804962
105.135,-51.31375206993631
105.146,-51.24856877019658
105.15599999999999,-51.174914598559134
105.166,-51.09394055475252
105.175,-51.016684638505296
105.185,-50.93144084954574
105.195,-50.85168718760217
105.206,-50.77108265240229
105.216,-50.695599243674145
105.225,-50.6194419611452
105.235,-50.532368804543
